plate,Well.Id,Channel,FlowJo,plateCore,Predict.PP,Gate.Score,MFI.Ratio
Plate 8774,B01,FL1-H,20,8.55,10.84,0.08,1.61
Plate 8774,B01,FL2-H,0,0.04,0.58,0.06,0.51
Plate 8774,B01,FL4-H,0,0.15,1.57,0.02,0.75
Plate 8774,B02,FL1-H,13,19.38,6,0.61,1.26
Plate 8774,B02,FL2-H,94,98.33,98.5,0.09,17.2
Plate 8774,B02,FL4-H,NA,0.08,1.87,0.01,0.8
Plate 8774,B03,FL1-H,26,23.05,11.32,0.45,1.64
Plate 8774,B03,FL2-H,0,2.91,6.27,0.01,1.29
Plate 8774,B03,FL4-H,0,0.36,2.03,0,0.83
Plate 8774,B04,FL1-H,10,0.13,3.55,-0.04,1.03
Plate 8774,B04,FL2-H,22,47.49,43.99,0.18,3.25
Plate 8774,B04,FL4-H,41,43.8,48.75,0.05,3.5
Plate 8774,B05,FL1-H,5,4.71,3.72,0.19,1.05
Plate 8774,B05,FL2-H,4,12.6,15.44,0.07,1.88
Plate 8774,B05,FL4-H,3,2.68,0.85,0.33,0.59
Plate 8774,B06,FL1-H,71,79.72,99.79,-3.64,36.32
Plate 8774,B06,FL2-H,16,66.43,65.01,0.15,4.5
Plate 8774,B06,FL4-H,36,55.16,58.24,0.07,4.04
Plate 8774,B07,FL1-H,38,40.45,21.12,0.53,2.17
Plate 8774,B07,FL2-H,59,76.2,97.11,-0.97,13.37
Plate 8774,B07,FL4-H,97,98.29,99.6,-0.09,28.48
Plate 8774,B08,FL1-H,58,56.09,99.39,-4.72,24.22
Plate 8774,B08,FL2-H,17,37.67,31.7,0.25,2.67
Plate 8774,B08,FL4-H,18,4.39,1.1,0.37,0.65
Plate 8774,B09,FL1-H,17,23.35,12.31,0.41,1.7
Plate 8774,B09,FL2-H,12,36.09,31.7,0.21,2.67
Plate 8774,B09,FL4-H,10,0.82,4.27,-0.01,1.1
Plate 8774,B10,FL1-H,16,11.97,4.27,0.46,1.1
Plate 8774,B10,FL2-H,0,0.71,1.21,0.11,0.68
Plate 8774,B10,FL4-H,0,0.09,1.76,0.01,0.78
Plate 8774,B11,FL1-H,0,0.54,2.28,0.06,0.87
Plate 8774,B11,FL2-H,0,0.36,2.75,-0.02,0.93
Plate 8774,B11,FL4-H,0,0,0.49,0.07,0.48
Plate 8774,B12,FL2-H,9,5.09,8.93,0.01,1.49
Plate 8774,B12,FL3-H,6,7.2,1.39,0.55,0.72
Plate 8774,B12,FL4-H,3,1.88,0.16,0.53,0.32
Plate 8774,C01,FL2-H,2,4.07,6.56,0.04,1.31
Plate 8774,C01,FL3-H,15,2.45,0.65,0.28,0.54
Plate 8774,C01,FL4-H,3,0.06,0.52,0.07,0.49
Plate 8774,C02,FL2-H,16,7.13,13.11,-0.03,1.75
Plate 8774,C02,FL3-H,99,99.92,99.99,0.14,147.94
Plate 8774,C02,FL4-H,20,62.05,60.54,0.16,4.19
Plate 8774,C03,FL2-H,27,87.61,86.84,0.16,7.25
Plate 8774,C03,FL3-H,15,2.78,1.64,0.22,0.76
Plate 8774,C03,FL4-H,15,19.78,16.74,0.21,1.95
